date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:03:19	44/44	---M-Z	200	added ('OK')	text/plain	etag:%2241107-18-4bcc9406a4f80%22	http://ajoke.cz/robots.txt		(from )
10:03:20	2840/2840	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202015%2014:03:21%20GMT	http://ajoke.cz/wizard2/	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard2/index.html	(from )
10:03:22	196430/196430	---M-Z	200	added ('OK')	text/css	etag:%2243fe1-2ff4e-51b871753dfd0%22	http://ajoke.cz/wizard2/css/all-1437599036.css	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard2/css/all-1437599036.css	(from http://ajoke.cz/wizard2/)
10:03:22	2840/2840	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202015%2014:03:22%20GMT	http://ajoke.cz/wizard2/site/index	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard2/site/index.html	(from http://ajoke.cz/wizard2/)
10:03:22	95443/95443	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202015%2014:03:23%20GMT	http://ajoke.cz/wizard2/examples	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard2/examples.html	(from http://ajoke.cz/wizard2/)
10:03:22	18255/18255	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202015%2014:03:24%20GMT	http://ajoke.cz/wizard2/documentation	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard2/documentation.html	(from http://ajoke.cz/wizard2/)
10:03:24	1534/1534	---M--	200	added ('OK')	image/png	etag:%221201ec-5fe-502a676058127%22	http://ajoke.cz/wizard/img/t1-arr-right.png	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard/img/t1-arr-right.png	(from http://ajoke.cz/wizard2/css/all-1437599036.css)
10:03:24	58533/58533	---M-Z	200	added ('OK')	application/javascript	etag:%2281fe2-e4a5-51b76dbea1d42%22	http://ajoke.cz/wizard2/assets/2c3c441f/js/bootstrap.js	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard2/assets/2c3c441f/js/bootstrap.js	(from http://ajoke.cz/wizard2/)
10:03:24	1538/1538	---M--	200	added ('OK')	image/png	etag:%221201eb-602-502a67602ca2d%22	http://ajoke.cz/wizard/img/t1-arr-left.png	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard/img/t1-arr-left.png	(from http://ajoke.cz/wizard2/css/all-1437599036.css)
10:03:25	1095/1095	---M--	200	added ('OK')	image/png	etag:%221201f1-447-502a67612ca9b%22	http://ajoke.cz/wizard/img/t2-nav-arr.png	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard/img/t2-nav-arr.png	(from http://ajoke.cz/wizard2/css/all-1437599036.css)
